"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"US Senate - Rep (Vote For 1)","Gary W. Black","REP",157370,13.35,0,0,159,159,"0","100"
2,"US Senate - Rep (Vote For 1)","Josh Clark","REP",46693,3.96,0,0,159,159,"0","100"
3,"US Senate - Rep (Vote For 1)","Kelvin King","REP",37930,3.22,0,0,159,159,"0","100"
4,"US Senate - Rep (Vote For 1)","Jonathan """"Jon"""" McColumn","REP",28601,2.43,0,0,159,159,"0","100"
5,"US Senate - Rep (Vote For 1)","Latham Saddler","REP",104471,8.86,0,0,159,159,"0","100"
6,"US Senate - Rep (Vote For 1)","Herschel Junior Walker","REP",803560,68.18,0,0,159,159,"0","100"
7,"US Senate - Dem (Vote For 1)","Tamara Johnson-Shealey","DEM",28984,3.96,0,0,159,159,"0","23"
8,"US Senate - Dem (Vote For 1)","Raphael Warnock (I)","DEM",702610,96.04,0,0,159,159,"0","23"
9,"Governor - Rep (Vote For 1)","Catherine Davis","REP",9788,0.81,0,0,159,159,"0","22"
10,"Governor - Rep (Vote For 1)","Brian Kemp (I)","REP",888078,73.72,0,0,159,159,"0","22"
11,"Governor - Rep (Vote For 1)","David A. Perdue","REP",262389,21.78,0,0,159,159,"0","22"
12,"Governor - Rep (Vote For 1)","Kandiss Taylor","REP",41232,3.42,0,0,159,159,"0","22"
13,"Governor - Rep (Vote For 1)","Tom Williams","REP",3255,0.27,0,0,159,159,"0","22"
14,"Governor - Dem (Vote For 1)","Stacey Abrams","DEM",727168,100.00,0,0,159,159,"0","40"
15,"Lieutenant Governor - Rep (Vote For 1)","Burt Jones","REP",558979,50.06,0,0,159,159,"0","359"
16,"Lieutenant Governor - Rep (Vote For 1)","Mack McGregor","REP",125916,11.28,0,0,159,159,"0","359"
17,"Lieutenant Governor - Rep (Vote For 1)","Butch Miller","REP",347547,31.12,0,0,159,159,"0","359"
18,"Lieutenant Governor - Rep (Vote For 1)","Jeanne Seaver","REP",84225,7.54,0,0,159,159,"0","359"
19,"Lieutenant Governor - Dem (Vote For 1)","Erick E. Allen","DEM",63222,9.15,0,0,159,159,"0","86"
20,"Lieutenant Governor - Dem (Vote For 1)","Charlie Bailey","DEM",121750,17.63,0,0,159,159,"0","86"
21,"Lieutenant Governor - Dem (Vote For 1)","Tyrone Brooks, Jr.","DEM",74855,10.84,0,0,159,159,"0","86"
22,"Lieutenant Governor - Dem (Vote For 1)","Tony Brown","DEM",27905,4.04,0,0,159,159,"0","86"
23,"Lieutenant Governor - Dem (Vote For 1)","Kwanza Hall","DEM",208249,30.16,0,0,159,159,"0","86"
24,"Lieutenant Governor - Dem (Vote For 1)","Jason T. Hayes","DEM",21415,3.10,0,0,159,159,"0","86"
25,"Lieutenant Governor - Dem (Vote For 1)","Derrick L. Jackson","DEM",60706,8.79,0,0,159,159,"0","86"
26,"Lieutenant Governor - Dem (Vote For 1)","R. Malik","DEM",12610,1.83,0,0,159,159,"0","86"
27,"Lieutenant Governor - Dem (Vote For 1)","Renitta Shannon","DEM",99877,14.46,0,0,159,159,"0","86"
28,"Secretary of State - Rep (Vote For 1)","David C. Belle Isle","REP",103272,8.84,0,0,159,159,"0","285"
29,"Secretary of State - Rep (Vote For 1)","Jody Hice","REP",389447,33.34,0,0,159,159,"0","285"
30,"Secretary of State - Rep (Vote For 1)","T.J. Hudson","REP",63646,5.45,0,0,159,159,"0","285"
31,"Secretary of State - Rep (Vote For 1)","Brad Raffensperger (I)","REP",611616,52.37,0,0,159,159,"0","285"
32,"Secretary of State - Dem (Vote For 1)","Dee Dawkins-Haigler","DEM",130278,18.66,0,0,159,159,"0","77"
33,"Secretary of State - Dem (Vote For 1)","John Eaves","DEM",68233,9.78,0,0,159,159,"0","77"
34,"Secretary of State - Dem (Vote For 1)","Floyd Griffin","DEM",75423,10.81,0,0,159,159,"0","77"
35,"Secretary of State - Dem (Vote For 1)","Bee Nguyen","DEM",309437,44.33,0,0,159,159,"0","77"
36,"Secretary of State - Dem (Vote For 1)","Michael Owens","DEM",114621,16.42,0,0,159,159,"0","77"
37,"Attorney General - Rep (Vote For 1)","Chris Carr (I)","REP",834383,73.75,0,0,159,159,"0","287"
38,"Attorney General - Rep (Vote For 1)","John Gordon","REP",297037,26.25,0,0,159,159,"0","287"
39,"Attorney General - Dem (Vote For 1)","Jennifer """"Jen"""" Jordan","DEM",533266,77.60,0,0,159,159,"0","88"
40,"Attorney General - Dem (Vote For 1)","Christian Wise Smith","DEM",153928,22.40,0,0,159,159,"0","88"
41,"Commissioner of Agriculture - Rep (Vote For 1)","Tyler Harper","REP",1029564,100.00,0,0,159,159,"0","642"
42,"Commissioner of Agriculture - Dem (Vote For 1)","Winfred Dukes","DEM",190936,28.61,0,0,159,159,"0","96"
43,"Commissioner of Agriculture - Dem (Vote For 1)","Nakita Hemingway","DEM",375435,56.25,0,0,159,159,"0","96"
44,"Commissioner of Agriculture - Dem (Vote For 1)","Fred Swann","DEM",101093,15.15,0,0,159,159,"0","96"
45,"Commissioner of Insurance - Rep (Vote For 1)","Ben Cowart","REP",140150,12.67,0,0,159,159,"0","348"
46,"Commissioner of Insurance - Rep (Vote For 1)","John King (I)","REP",780649,70.58,0,0,159,159,"0","348"
47,"Commissioner of Insurance - Rep (Vote For 1)","Patrick Witt","REP",185257,16.75,0,0,159,159,"0","348"
48,"Commissioner of Insurance - Dem (Vote For 1)","Raphael Baker","DEM",221783,33.08,0,0,159,159,"0","86"
49,"Commissioner of Insurance - Dem (Vote For 1)","Janice Laws Robinson","DEM",326524,48.70,0,0,159,159,"0","86"
50,"Commissioner of Insurance - Dem (Vote For 1)","Matthew Wilson","DEM",122192,18.22,0,0,159,159,"0","86"
51,"State School Superintendent - Rep (Vote For 1)","John D. Barge","REP",302681,27.39,0,0,159,159,"0","307"
52,"State School Superintendent - Rep (Vote For 1)","Richard Woods (I)","REP",802260,72.61,0,0,159,159,"0","307"
53,"State School Superintendent - Dem (Vote For 1)","Currey Hitchens","DEM",90514,13.47,0,0,159,159,"0","87"
54,"State School Superintendent - Dem (Vote For 1)","Jaha V. Howard","DEM",100675,14.99,0,0,159,159,"0","87"
55,"State School Superintendent - Dem (Vote For 1)","James Morrow, Jr.","DEM",97821,14.56,0,0,159,159,"0","87"
56,"State School Superintendent - Dem (Vote For 1)","Alisha Thomas Searcy","DEM",382792,56.98,0,0,159,159,"0","87"
57,"Commissioner of Labor - Rep (Vote For 1)","Kartik Bhatt","REP",67407,6.62,0,0,159,159,"0","580"
58,"Commissioner of Labor - Rep (Vote For 1)","Mike Coan","REP",312842,30.73,0,0,159,159,"0","580"
59,"Commissioner of Labor - Rep (Vote For 1)","Bruce Thompson","REP",637857,62.65,0,0,159,159,"0","580"
60,"Commissioner of Labor - Dem (Vote For 1)","William """"Will"""" Boddie, Jr.","DEM",184446,27.67,0,0,159,159,"0","75"
61,"Commissioner of Labor - Dem (Vote For 1)","Thomas Dean","DEM",66107,9.92,0,0,159,159,"0","75"
62,"Commissioner of Labor - Dem (Vote For 1)","Nicole Horn","DEM",167442,25.12,0,0,159,159,"0","75"
63,"Commissioner of Labor - Dem (Vote For 1)","Lester G. Jackson III","DEM",129109,19.37,0,0,159,159,"0","75"
64,"Commissioner of Labor - Dem (Vote For 1)","Nadia Surrency","DEM",119582,17.94,0,0,159,159,"0","75"
65,"PSC - District 2 - Rep (Vote For 1)","Tim Echols (I)","REP",1033061,100.00,0,0,159,159,"0","665"
66,"PSC - District 2 - Dem (Vote For 1)","Patty Durand","DEM",392357,60.44,0,0,159,159,"0","105"
67,"PSC - District 2 - Dem (Vote For 1)","Russell Edwards","DEM",256769,39.56,0,0,159,159,"0","105"
68,"PSC - District 3 - Rep (Vote For 1)","Fitz Johnson (I)","REP",1007354,100.00,0,0,159,159,"0","756"
69,"PSC - District 3 - Dem (Vote For 1)","Shelia Edwards","DEM",358738,54.68,0,0,159,159,"0","95"
70,"PSC - District 3 - Dem (Vote For 1)","Chandra Farley","DEM",200780,30.60,0,0,159,159,"0","95"
71,"PSC - District 3 - Dem (Vote For 1)","Missy Moore","DEM",96588,14.72,0,0,159,159,"0","95"
72,"US House of Representatives - District 1 - Rep (Vote For 1)","Earl L. """"Buddy"""" Carter (I)","REP",80757,100.00,0,0,15,15,"0","602"
73,"US House of Representatives - District 1 - Dem (Vote For 1)","Joyce Marie Griggs","DEM",21891,48.59,0,0,15,15,"0","83"
74,"US House of Representatives - District 1 - Dem (Vote For 1)","Wade Herring","DEM",17118,38.00,0,0,15,15,"0","83"
75,"US House of Representatives - District 1 - Dem (Vote For 1)","Michelle L. Munroe","DEM",6043,13.41,0,0,15,15,"0","83"
76,"US House of Representatives - District 2 - Rep (Vote For 1)","Vivian L. Childs","REP",3986,6.43,0,0,30,30,"0","35"
77,"US House of Representatives - District 2 - Rep (Vote For 1)","Jeremy Hunt","REP",22923,36.97,0,0,30,30,"0","35"
78,"US House of Representatives - District 2 - Rep (Vote For 1)","Wayne Johnson","REP",11574,18.66,0,0,30,30,"0","35"
79,"US House of Representatives - District 2 - Rep (Vote For 1)","Rich Robertson","REP",2832,4.57,0,0,30,30,"0","35"
80,"US House of Representatives - District 2 - Rep (Vote For 1)","Chris West","REP",18658,30.09,0,0,30,30,"0","35"
81,"US House of Representatives - District 2 - Rep (Vote For 1)","Paul Whitehead","REP",2037,3.28,0,0,30,30,"0","35"
82,"US House of Representatives - District 2 - Dem (Vote For 1)","Sanford Bishop (I)","DEM",54991,93.51,0,0,28,28,"0","13"
83,"US House of Representatives - District 2 - Dem (Vote For 1)","Joe O'Hara","DEM",3814,6.49,0,0,28,28,"0","13"
