UNIQUE_ID,COUNTYFP,county,precinct,R22LTGDBAI,R22LTGDHAL,R22SOSDNGU,R22SOSDDAW,R22INSDROB,R22INSDBAK,R22LABDBOD,R22LABDHOR,RCON01DHER,RCON01DGRI,RCON02RWES,RCON02RHUN,RCON06RMCC,RCON06REVA,RCON07RGON,RCON07RCOR,RCON10DJOH,RCON10DFOR,RCON10RCOL,RCON10RJON,RSU03RHOD,RSU03RJON,RSL024RBAR,RSL024RGIL,RSL028RCOX,RSL028RTRE,RSL030RMCC,RSL030RPIM,RSL039DCUM,RSL039DDEL,RSL050RRED,RSL050RKRA,RSL061DBRU,RSL061DKEM,RSL086DBAR,RSL086DADA,RSL090DDRA,RSL090DSCH,RSL117RDAN,RSL117RKAH,RSL179RTOW,RSL179RDUN
001-1B,001,Appling,1B,8,12,16,3,10,9,10,9,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001-1C,001,Appling,1C,4,0,1,3,1,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001-2,001,Appling,2,40,84,69,54,75,50,62,59,60,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001-3A1,001,Appling,3A1,3,1,0,4,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001-3C,001,Appling,3C,18,12,12,16,12,16,14,12,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001-4B,001,Appling,4B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001-4D,001,Appling,4D,8,1,4,4,7,2,7,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001-5A,001,Appling,5A,2,1,2,1,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001-5B,001,Appling,5B,5,1,3,3,5,1,5,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003-Axson,003,Atkinson,Axson,2,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003-Pearson City,003,Atkinson,Pearson City,5,8,1,12,8,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003-Pearson County,003,Atkinson,Pearson County,4,2,1,5,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003-Willacoochee,003,Atkinson,Willacoochee,22,3,17,8,13,10,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005-Douglas,005,Bacon,Douglas,36,28,36,28,33,32,33,32,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007-Anna,007,Baker,Anna,32,14,26,20,20,24,35,10,0,0,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007-Elmodel,007,Baker,Elmodel,9,5,6,8,12,2,11,3,0,0,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007-Hoggards Mill,007,Baker,Hoggards Mill,19,19,17,21,9,30,32,7,0,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007-Milford,007,Baker,Milford,4,4,4,4,6,4,4,3,0,0,38,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007-Newton,007,Baker,Newton,7,10,10,8,11,5,11,6,0,0,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009-Boddie,009,Baldwin,Boddie,11,20,18,13,23,6,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009-City Hall Annex,009,Baldwin,City Hall Annex,20,13,20,13,19,12,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009-Coopers,009,Baldwin,Coopers,25,15,28,12,20,20,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009-Courthouse,009,Baldwin,Courthouse,10,10,15,5,10,9,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009-East Baldwin,009,Baldwin,East Baldwin,72,60,102,30,75,53,97,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009-East Hardwick,009,Baldwin,East Hardwick,28,32,35,26,36,25,54,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009-Meriwether,009,Baldwin,Meriwether,59,50,74,35,61,46,70,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009-North Baldwin,009,Baldwin,North Baldwin,60,45,75,29,69,35,81,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009-North Milledgeville,009,Baldwin,North Milledgeville,57,34,58,33,55,33,66,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009-Scottboro,009,Baldwin,Scottboro,18,19,28,8,19,18,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009-South Milledgeville,009,Baldwin,South Milledgeville,41,41,46,36,50,31,72,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009-West Baldwin,009,Baldwin,West Baldwin,47,35,56,27,43,41,71,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009-West Hardwick,009,Baldwin,West Hardwick,131,95,146,79,129,90,172,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009-West Thomas,009,Baldwin,West Thomas,67,48,82,33,59,55,96,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011-Anderson,011,Banks,Anderson,4,1,3,2,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011-Baldwin,011,Banks,Baldwin,5,0,5,0,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011-Berlin,011,Banks,Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011-Bushville,011,Banks,Bushville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011-Columbia,011,Banks,Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011-Davids,011,Banks,Davids,6,0,3,3,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011-Golden Hill,011,Banks,Golden Hill,6,4,7,3,7,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011-Grove River,011,Banks,Grove River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011-Hollingsworth,011,Banks,Hollingsworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011-Homer,011,Banks,Homer,5,1,5,1,3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011-Poplar Springs,011,Banks,Poplar Springs,4,0,3,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011-Washington,011,Banks,Washington,4,1,4,1,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
011-Wilmonts,011,Banks,Wilmonts,4,0,3,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013-01,013,Barrow,01,16,7,21,2,19,4,9,14,0,0,0,0,0,0,0,0,19,4,152,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
