,UNIQUE_ID,county,precinct,total_uss,total_gov
230,051-1-01C First Presbyterian Church,Chatham,1-01C First Presbyterian Church,1274,1283
231,051-1-05C JEA Building,Chatham,1-05C JEA Building,672,668
232,051-1-06C Central Church of Christ,Chatham,1-06C Central Church of Christ,771,777
233,051-1-08C Grace United Methodist Church,Chatham,1-08C Grace United Methodist Church,485,486
234,051-1-09C Immanuel Baptist Church,Chatham,1-09C Immanuel Baptist Church,366,368
235,051-1-10C St Thomas Episcopal Church,Chatham,1-10C St Thomas Episcopal Church,458,465
236,051-1-12C Isle of Hope Baptist,Chatham,1-12C Isle of Hope Baptist,857,869
237,051-1-13C The Sanctuary,Chatham,1-13C The Sanctuary,425,433
238,051-1-14C St. Luke United Methodist Church,Chatham,1-14C St. Luke United Methodist Church,587,591
239,051-1-16C Ferguson Ave Baptist,Chatham,1-16C Ferguson Ave Baptist,1080,1090
240,051-1-17C Islands Christian Church,Chatham,1-17C Islands Christian Church,1200,1215
241,051-2-02C River Pointe,Chatham,2-02C River Pointe,304,305
242,051-2-03C W W Law Center,Chatham,2-03C W W Law Center,286,287
243,051-2-04C Fellowship of Love Church,Chatham,2-04C Fellowship of Love Church,667,667
244,051-2-05C Holy Spirit Lutheran Church,Chatham,2-05C Holy Spirit Lutheran Church,524,527
245,051-2-06C Eli Whitney Complex,Chatham,2-06C Eli Whitney Complex,88,88
246,051-2-07C Christ Community Church,Chatham,2-07C Christ Community Church,656,664
247,051-2-09C Salvation Army,Chatham,2-09C Salvation Army,799,805
248,051-2-11C Oasis of Hope Community Center,Chatham,2-11C Oasis of Hope Community Center,329,336
249,051-2-12C Williams Court Apts,Chatham,2-12C Williams Court Apts,345,346
250,051-3-02C Temple Mickve Israel,Chatham,3-02C Temple Mickve Israel,557,555
251,051-3-03C Savannah High School,Chatham,3-03C Savannah High School,173,176
252,051-3-04C First African Baptist Church,Chatham,3-04C First African Baptist Church,343,350
253,051-3-05C New Generations Cathedral,Chatham,3-05C New Generations Cathedral,405,409
254,051-3-08C Jenkins High School,Chatham,3-08C Jenkins High School,310,318
255,051-3-09C The Connexion Church,Chatham,3-09C The Connexion Church,282,280
256,051-3-10C Bible Baptist Church,Chatham,3-10C Bible Baptist Church,660,668
257,051-3-11C Southside Baptist Church,Chatham,3-11C Southside Baptist Church,357,361
258,051-3-12C Thunderbolt Muni Complex,Chatham,3-12C Thunderbolt Muni Complex,459,462
259,051-3-13C New Cov 7 Day Adv Ch,Chatham,3-13C New Cov 7 Day Adv Ch,513,519
260,051-3-14C Oglethorpe Charter Academy,Chatham,3-14C Oglethorpe Charter Academy,710,716
261,051-3-15C Eli Whitney Complex,Chatham,3-15C Eli Whitney Complex,518,523
262,051-4-02C Islands High School Annex,Chatham,4-02C Islands High School Annex,650,653
263,051-4-04C Lighthouse Baptist Church,Chatham,4-04C Lighthouse Baptist Church,870,877
264,051-4-05C St Francis Episcopal Church,Chatham,4-05C St Francis Episcopal Church,797,807
265,051-4-06C First Baptist of the Island,Chatham,4-06C First Baptist of the Island,813,821
266,051-4-07C Wilmington Island UMC,Chatham,4-07C Wilmington Island UMC,1007,1023
267,051-4-08C Wilmington Island Pres Church,Chatham,4-08C Wilmington Island Pres Church,1094,1119
268,051-4-10C Burke Day Public Safety BLDG,Chatham,4-10C Burke Day Public Safety BLDG,539,541
269,051-4-11C Island Old School Cafe,Chatham,4-11C Island Old School Cafe,639,652
270,051-4-12C St Peters Episcopal,Chatham,4-12C St Peters Episcopal,1069,1091
271,051-4-13C Skidaway Community Church,Chatham,4-13C Skidaway Community Church,1190,1201
272,051-4-14C Skidaway Island Methodist Church,Chatham,4-14C Skidaway Island Methodist Church,1750,1814
273,051-5-02C Senior Citizens Center,Chatham,5-02C Senior Citizens Center,147,151
274,051-5-03C Butler Presbyterian Church,Chatham,5-03C Butler Presbyterian Church,236,241
275,051-5-05C Liberty City Comm Ctr,Chatham,5-05C Liberty City Comm Ctr,755,759
276,051-5-06C Seed Church,Chatham,5-06C Seed Church,474,481
277,051-5-07C Elks Lodge,Chatham,5-07C Elks Lodge,282,283
278,051-5-08C Savannah Primitive BC,Chatham,5-08C Savannah Primitive BC,428,431
279,051-5-10C Jonesville Baptist Church,Chatham,5-10C Jonesville Baptist Church,740,740
280,051-5-11C Largo-Tibet Elementary,Chatham,5-11C Largo-Tibet Elementary,569,577
281,051-6-01C White Bluff Presbyterian,Chatham,6-01C White Bluff Presbyterian,409,415
282,051-6-02C Windsor Forest Baptist,Chatham,6-02C Windsor Forest Baptist,902,914
283,051-6-03C Crusader Comm Center,Chatham,6-03C Crusader Comm Center,843,849
284,051-6-05C Windsor Hall,Chatham,6-05C Windsor Hall,476,482
285,051-6-06C The Light Church,Chatham,6-06C The Light Church,349,348
286,051-6-08C Christ Memorial Baptist Church,Chatham,6-08C Christ Memorial Baptist Church,406,408
287,051-6-09C Trinity Lutheran Church,Chatham,6-09C Trinity Lutheran Church,922,924
288,051-6-10C Georgetown Elementary,Chatham,6-10C Georgetown Elementary,1227,1231
289,051-6-11C Coastal GA Botanical Gardens,Chatham,6-11C Coastal GA Botanical Gardens,967,976
290,051-7-01C First Baptist Church of Garden City,Chatham,7-01C First Baptist Church of Garden City,377,375
291,051-7-03C PB Edwards Gym,Chatham,7-03C PB Edwards Gym,260,263
292,051-7-04C Lake Shore Comm Ctr,Chatham,7-04C Lake Shore Comm Ctr,554,548
293,051-7-05C Woodlawn Baptist Church,Chatham,7-05C Woodlawn Baptist Church,244,250
294,051-7-06C 1st Baptist Church of Pooler,Chatham,7-06C 1st Baptist Church of Pooler,673,689
295,051-7-07C Rothwell Baptist Church,Chatham,7-07C Rothwell Baptist Church,949,955
296,051-7-08C Bloomingdale Comm Ctr,Chatham,7-08C Bloomingdale Comm Ctr,662,664
297,"051-7-09C Compassion Christian, Henderson",Chatham,"7-09C Compassion Christian, Henderson",575,583
298,051-7-10C Progressive Rec Center,Chatham,7-10C Progressive Rec Center,779,782
299,051-7-11C Savannah Fire Station 14,Chatham,7-11C Savannah Fire Station 14,458,457
300,051-7-12C West Chatham Baptist Church,Chatham,7-12C West Chatham Baptist Church,746,750
301,051-7-13C Southside Fire Trng Ctr,Chatham,7-13C Southside Fire Trng Ctr,994,1021
302,051-7-14C Coastal Cathedral,Chatham,7-14C Coastal Cathedral,1876,1870
303,051-7-15C Rice Creek School,Chatham,7-15C Rice Creek School,505,508
304,051-7-16C Pooler Recreation Center Gymnasium,Chatham,7-16C Pooler Recreation Center Gymnasium,919,927
305,051-8-01C R.M.G. Civil Rights Museum,Chatham,8-01C R.M.G. Civil Rights Museum,6,7
306,051-8-02C Hellenic Center,Chatham,8-02C Hellenic Center,352,359
307,051-8-03C Silk Hope Baptist Church,Chatham,8-03C Silk Hope Baptist Church,173,176
308,051-8-05C W Broad St YMCA,Chatham,8-05C W Broad St YMCA,192,194
309,051-8-06C Tompkins Rec Center,Chatham,8-06C Tompkins Rec Center,203,205
310,051-8-07C Woodville-Tompkins TI,Chatham,8-07C Woodville-Tompkins TI,126,125
311,051-8-08C Resur of Our Lord Church,Chatham,8-08C Resur of Our Lord Church,353,351
312,051-8-09C Moses Jackson Center,Chatham,8-09C Moses Jackson Center,295,292
313,051-8-10C Carver Heights Comm Ctr,Chatham,8-10C Carver Heights Comm Ctr,420,418
314,051-8-11C Butler Elementary,Chatham,8-11C Butler Elementary,448,446
315,051-8-12C Beach High School,Chatham,8-12C Beach High School,192,194
316,051-8-13C Savannah Christian,Chatham,8-13C Savannah Christian,122,125
317,051-8-15C Cooper Center,Chatham,8-15C Cooper Center,305,311
318,051-8-16C Oaks at Pooler,Chatham,8-16C Oaks at Pooler,652,655
319,051-8-17C Georgia Tech Savannah Campus,Chatham,8-17C Georgia Tech Savannah Campus,471,470
320,051-8-18C Savannah First 7th Day Adv Church,Chatham,8-18C Savannah First 7th Day Adv Church,119,120
