,UNIQUE_ID,county,precinct,total_uss,total_gov
400,063-Ellenwood 1,Clayton,Ellenwood 1,802,803
401,063-Ellenwood 2,Clayton,Ellenwood 2,927,930
402,063-Forest Park 1,Clayton,Forest Park 1,352,358
403,063-Forest Park 2,Clayton,Forest Park 2,376,379
404,063-Forest Park 3,Clayton,Forest Park 3,334,329
405,063-Forest Park 4,Clayton,Forest Park 4,274,278
406,063-Forest Park 5,Clayton,Forest Park 5,357,357
407,063-Forest Park 6,Clayton,Forest Park 6,207,210
408,063-Jonesboro 1,Clayton,Jonesboro 1,541,539
409,063-Jonesboro 10,Clayton,Jonesboro 10,421,422
410,063-Jonesboro 11,Clayton,Jonesboro 11,1022,1013
411,063-Jonesboro 12,Clayton,Jonesboro 12,472,474
412,063-Jonesboro 13,Clayton,Jonesboro 13,534,537
413,063-Jonesboro 14,Clayton,Jonesboro 14,1205,1203
414,063-Jonesboro 15,Clayton,Jonesboro 15,292,294
415,063-Jonesboro 16,Clayton,Jonesboro 16,360,361
416,063-Jonesboro 17,Clayton,Jonesboro 17,446,445
417,063-Jonesboro 18,Clayton,Jonesboro 18,510,514
418,063-Jonesboro 19,Clayton,Jonesboro 19,514,518
419,063-Jonesboro 2,Clayton,Jonesboro 2,793,794
420,063-Jonesboro 3,Clayton,Jonesboro 3,876,879
421,063-Jonesboro 4,Clayton,Jonesboro 4,290,293
422,063-Jonesboro 5,Clayton,Jonesboro 5,463,466
423,063-Jonesboro 6,Clayton,Jonesboro 6,891,881
424,063-Jonesboro 7,Clayton,Jonesboro 7,634,636
425,063-Jonesboro 8,Clayton,Jonesboro 8,408,410
426,063-Jonesboro 9,Clayton,Jonesboro 9,182,183
427,063-Lake City,Clayton,Lake City,480,483
428,063-Lovejoy 1,Clayton,Lovejoy 1,992,973
429,063-Lovejoy 2,Clayton,Lovejoy 2,558,552
430,063-Lovejoy 3,Clayton,Lovejoy 3,367,371
431,063-Lovejoy 4,Clayton,Lovejoy 4,887,894
432,063-Lovejoy 5,Clayton,Lovejoy 5,537,535
433,063-Lovejoy 6,Clayton,Lovejoy 6,678,682
434,063-Lovejoy 7,Clayton,Lovejoy 7,504,506
435,063-Morrow 1,Clayton,Morrow 1,499,504
436,063-Morrow 10,Clayton,Morrow 10,566,573
437,063-Morrow 11,Clayton,Morrow 11,411,414
438,063-Morrow 2,Clayton,Morrow 2,409,407
439,063-Morrow 3,Clayton,Morrow 3,436,439
440,063-Morrow 4,Clayton,Morrow 4,373,367
441,063-Morrow 5,Clayton,Morrow 5,671,676
442,063-Morrow 6,Clayton,Morrow 6,583,582
443,063-Morrow 7,Clayton,Morrow 7,287,288
444,063-Morrow 8,Clayton,Morrow 8,677,676
445,063-Morrow 9,Clayton,Morrow 9,260,260
446,063-Oak 1,Clayton,Oak 1,346,343
447,063-Oak 2,Clayton,Oak 2,195,191
448,063-Oak 3,Clayton,Oak 3,340,338
449,063-Oak 4,Clayton,Oak 4,544,545
450,063-Oak 5,Clayton,Oak 5,166,170
451,063-Panhandle 1,Clayton,Panhandle 1,832,835
452,063-Panhandle 2,Clayton,Panhandle 2,986,990
453,063-Riverdale 1,Clayton,Riverdale 1,638,628
454,063-Riverdale 10,Clayton,Riverdale 10,235,239
455,063-Riverdale 11,Clayton,Riverdale 11,475,479
456,063-Riverdale 12,Clayton,Riverdale 12,578,576
457,063-Riverdale 2,Clayton,Riverdale 2,548,553
458,063-Riverdale 3,Clayton,Riverdale 3,700,701
459,063-Riverdale 4,Clayton,Riverdale 4,630,633
460,063-Riverdale 5,Clayton,Riverdale 5,497,497
461,063-Riverdale 6,Clayton,Riverdale 6,340,344
462,063-Riverdale 7,Clayton,Riverdale 7,233,233
463,063-Riverdale 8,Clayton,Riverdale 8,854,854
464,063-Riverdale 9,Clayton,Riverdale 9,422,419
