,UNIQUE_ID,county,precinct,total_uss,total_gov
1175,121-01A,Fulton,01A,1118,1123
1176,121-01B,Fulton,01B,1388,1400
1177,121-01C,Fulton,01C,198,204
1178,121-01D,Fulton,01D,242,240
1179,121-01E,Fulton,01E,1088,1091
1180,121-01F,Fulton,01F,119,118
1181,121-01G,Fulton,01G,402,410
1182,121-01H,Fulton,01H,93,95
1183,121-01I,Fulton,01I,0,0
1184,121-01J,Fulton,01J,435,433
1185,121-01P,Fulton,01P,194,194
1186,121-01R,Fulton,01R,143,142
1187,121-01S,Fulton,01S,319,320
1188,121-01T,Fulton,01T,311,310
1189,121-02A,Fulton,02A,881,894
1190,121-02A1,Fulton,02A1,149,151
1191,121-02B,Fulton,02B,419,416
1192,121-02C,Fulton,02C,371,371
1193,121-02D,Fulton,02D,903,911
1194,121-02E,Fulton,02E,656,666
1195,121-02F1,Fulton,02F1,690,691
1196,121-02F2,Fulton,02F2,106,109
1197,121-02G,Fulton,02G,835,837
1198,121-02J,Fulton,02J,533,533
1199,121-02K,Fulton,02K,339,346
1200,121-02L1,Fulton,02L1,944,975
1201,121-02L1A,Fulton,02L1A,330,333
1202,121-02L2,Fulton,02L2,338,339
1203,121-02S,Fulton,02S,141,139
1204,121-02W,Fulton,02W,161,162
1205,121-03A,Fulton,03A,301,299
1206,121-03B,Fulton,03B,59,55
1207,121-03C,Fulton,03C,278,277
1208,121-03D,Fulton,03D,151,151
1209,121-03E,Fulton,03E,313,316
1210,121-03F,Fulton,03F,356,361
1211,121-03G,Fulton,03G,101,100
1212,121-03H,Fulton,03H,124,126
1213,121-03I,Fulton,03I,72,73
1214,121-03L,Fulton,03L,53,53
1215,121-03M,Fulton,03M,170,176
1216,121-03N,Fulton,03N,192,190
1217,121-03P1A,Fulton,03P1A,423,425
1218,121-03P1B,Fulton,03P1B,0,0
1219,121-03P2,Fulton,03P2,13,13
1220,121-03S,Fulton,03S,126,127
1221,121-03T,Fulton,03T,259,257
1222,121-04A,Fulton,04A,200,199
1223,121-04B,Fulton,04B,225,224
1224,121-04C,Fulton,04C,26,24
1225,121-04D,Fulton,04D,343,343
1226,121-04F,Fulton,04F,332,328
1227,121-04G,Fulton,04G,135,134
1228,121-04I,Fulton,04I,180,174
1229,121-04J,Fulton,04J,23,23
1230,121-04K,Fulton,04K,448,444
1231,121-04L,Fulton,04L,357,358
1232,121-04M,Fulton,04M,105,102
1233,121-04S,Fulton,04S,508,500
1234,121-04T,Fulton,04T,250,247
1235,121-04V,Fulton,04V,318,315
1236,121-04W,Fulton,04W,9,9
1237,121-04X1,Fulton,04X1,444,452
1238,121-04X2,Fulton,04X2,129,129
1239,121-05A1,Fulton,05A1,822,821
1240,121-05A2,Fulton,05A2,830,831
1241,121-05B,Fulton,05B,280,286
1242,121-05C,Fulton,05C,4,4
1243,121-05D,Fulton,05D,11,11
1244,121-05F,Fulton,05F,2,2
1245,121-05J,Fulton,05J,150,150
1246,121-05K,Fulton,05K,251,254
1247,121-06B,Fulton,06B,385,396
1248,121-06D,Fulton,06D,1135,1151
1249,121-06D1,Fulton,06D1,803,815
1250,121-06D2,Fulton,06D2,494,507
1251,121-06E,Fulton,06E,458,462
1252,121-06F,Fulton,06F,724,738
1253,121-06G,Fulton,06G,148,151
1254,121-06I,Fulton,06I,497,503
1255,121-06J,Fulton,06J,794,813
1256,121-06L1,Fulton,06L1,336,349
1257,121-06L2,Fulton,06L2,240,249
1258,121-06N,Fulton,06N,437,444
1259,121-06Q,Fulton,06Q,64,64
1260,121-06R,Fulton,06R,553,560
1261,121-07A,Fulton,07A,1162,1185
1262,121-07A1,Fulton,07A1,410,421
1263,121-07B,Fulton,07B,1015,1034
1264,121-07C,Fulton,07C,1130,1152
1265,121-07D,Fulton,07D,631,645
1266,121-07D1,Fulton,07D1,228,230
1267,121-07E,Fulton,07E,570,581
1268,121-07F,Fulton,07F,873,912
1269,121-07H,Fulton,07H,733,751
1270,121-07J,Fulton,07J,806,830
1271,121-07M,Fulton,07M,368,366
1272,121-07N,Fulton,07N,281,283
1273,121-08A,Fulton,08A,948,960
1274,121-08B,Fulton,08B,1063,1091
1275,121-08C,Fulton,08C,153,154
1276,121-08C1,Fulton,08C1,403,414
1277,121-08D,Fulton,08D,444,448
1278,121-08E,Fulton,08E,1019,1045
1279,121-08F1,Fulton,08F1,837,864
1280,121-08G,Fulton,08G,713,729
1281,121-08H,Fulton,08H,1063,1079
1282,121-08J,Fulton,08J,917,939
1283,121-08K,Fulton,08K,229,237
1284,121-08L,Fulton,08L,989,1012
1285,121-08M,Fulton,08M,756,777
1286,121-08N1,Fulton,08N1,323,333
1287,121-08N2,Fulton,08N2,490,502
1288,121-08P,Fulton,08P,233,235
1289,121-09A,Fulton,09A,726,739
1290,121-09B,Fulton,09B,41,38
1291,121-09C,Fulton,09C,629,634
1292,121-09D,Fulton,09D,283,283
1293,121-09E,Fulton,09E,301,297
1294,121-09F,Fulton,09F,983,993
1295,121-09G,Fulton,09G,594,611
1296,121-09H,Fulton,09H,135,137
1297,121-09I,Fulton,09I,163,162
1298,121-09K,Fulton,09K,215,218
1299,121-09K1,Fulton,09K1,113,113
1300,121-09M,Fulton,09M,444,449
1301,121-1.10E+02,Fulton,1.10E+02,274,269
1302,121-1.10E+03,Fulton,1.10E+03,269,266
1303,121-1.10E+04,Fulton,1.10E+04,681,684
1304,121-1.20E+02,Fulton,1.20E+02,210,212
1305,121-10A,Fulton,10A,699,698
1306,121-10B,Fulton,10B,1354,1342
1307,121-10C,Fulton,10C,363,368
1308,121-10D,Fulton,10D,103,100
1309,121-10D1,Fulton,10D1,209,210
1310,121-10D2,Fulton,10D2,423,419
1311,121-10E,Fulton,10E,252,250
1312,121-10F,Fulton,10F,269,264
1313,121-10G,Fulton,10G,474,468
