,UNIQUE_ID,county,precinct,total_uss,total_gov
2069,185-Dasher City Hall,Lowndes,Dasher City Hall,614,621
2070,185-Hahira Community Center,Lowndes,Hahira Community Center,344,353
2071,185-Hahira Historical Society,Lowndes,Hahira Historical Society,451,459
2072,185-Hahira Train Depot,Lowndes,Hahira Train Depot,783,790
2073,185-Jaycee Community Center,Lowndes,Jaycee Community Center,329,343
2074,185-Lake Park Civic Center,Lowndes,Lake Park Civic Center,859,864
2075,185-Lowndes Civic Center,Lowndes,Lowndes Civic Center,1364,1391
2076,185-Mathis Auditorium,Lowndes,Mathis Auditorium,3003,3029
2077,185-Mildred Community Center,Lowndes,Mildred Community Center,422,446
2078,185-Mt. Calvary Church,Lowndes,Mt. Calvary Church,238,245
2079,185-Naylor Community Center,Lowndes,Naylor Community Center,403,408
2080,185-Nazarene Church,Lowndes,Nazarene Church,1255,1270
2081,185-Paper Mill Union,Lowndes,Paper Mill Union,518,521
2082,185-Pine Grove Church,Lowndes,Pine Grove Church,309,320
2083,185-Rainwater Conference Center,Lowndes,Rainwater Conference Center,1949,1977
2084,185-South Lowndes Recreation Center,Lowndes,South Lowndes Recreation Center,559,562
2085,185-Trinity Church,Lowndes,Trinity Church,627,632
2086,185-VSU UC,Lowndes,VSU UC,6,6
2087,185-Wiregrass College,Lowndes,Wiregrass College,1778,1795
