,UNIQUE_ID,county,precinct,total_uss,total_gov
2240,223-Beulahland Baptist Church,Paulding,Beulahland Baptist Church,611,619
2241,223-Burnt Hickory Park,Paulding,Burnt Hickory Park,1989,2030
2242,223-Crossroads Library,Paulding,Crossroads Library,1148,1159
2243,223-D Wright Innovation Ctr,Paulding,D Wright Innovation Ctr,1715,1732
2244,223-Dobbins Middle School,Paulding,Dobbins Middle School,1971,1999
2245,223-East Paulding Middle Sch,Paulding,East Paulding Middle Sch,3050,3089
2246,223-Events Place,Paulding,Events Place,1163,1178
2247,223-Legacy Bapt Church,Paulding,Legacy Bapt Church,1053,1061
2248,223-Mulberry Rock Park,Paulding,Mulberry Rock Park,1748,1778
2249,223-Nebo Elem School,Paulding,Nebo Elem School,2538,2572
2250,223-Paulding County Airport,Paulding,Paulding County Airport,1132,1150
2251,223-Paulding Sr Center,Paulding,Paulding Sr Center,1322,1340
2252,223-Picketts Mill Baptist Church,Paulding,Picketts Mill Baptist Church,766,785
2253,223-Poplar Sprgs Bapt Church,Paulding,Poplar Sprgs Bapt Church,1037,1057
2254,223-Russom Elementary,Paulding,Russom Elementary,2410,2444
2255,223-Shelton Elementary,Paulding,Shelton Elementary,1357,1377
2256,223-Taylor Farm Park,Paulding,Taylor Farm Park,738,746
2257,223-Watson Govt Cmplx,Paulding,Watson Govt Cmplx,2209,2240
2258,223-White Oak Park,Paulding,White Oak Park,1398,1409
