precinct,district,office,writein,party_detailed,party_simplified,candidate,dataverse,mode,votes,jurisdiction_name,state,year,stage,state_po,state_fips,state_cen,state_ic,date,jurisdiction_fips,county_name,county_fips,readme_check,magnitude,special
01-01,,US SENATE,FALSE,LIBERTARIAN,LIBERTARIAN,FEENA M BONOAN,SENATE,MAIL IN,35,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,US SENATE,FALSE,ALOHA AINA PARTY,OTHER,DAN DECKER,SENATE,MAIL IN,19,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,US SENATE,FALSE,REPUBLICAN,REPUBLICAN,BOB MCDERMOTT,SENATE,MAIL IN,609,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,US SENATE,FALSE,GREEN,OTHER,EMMA JANE A POHLMAN,SENATE,MAIL IN,29,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,US SENATE,FALSE,DEMOCRAT,DEMOCRAT,BRIAN SCHATZ,SENATE,MAIL IN,2521,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,002,US HOUSE,FALSE,REPUBLICAN,REPUBLICAN,JOE AKANA,HOUSE,MAIL IN,864,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,002,US HOUSE,FALSE,LIBERTARIAN,LIBERTARIAN,MICHELLE ROSE TIPPENS,HOUSE,MAIL IN,84,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,002,US HOUSE,FALSE,DEMOCRAT,DEMOCRAT,JILL N TOKUDA,HOUSE,MAIL IN,2198,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,GOVERNOR,FALSE,REPUBLICAN,REPUBLICAN,DUKE TUPAI AIONA,STATE,MAIL IN,918,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,GOVERNOR,FALSE,DEMOCRAT,DEMOCRAT,JOSH LUKE GREEN,STATE,MAIL IN,2315,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,004,STATE SENATOR,FALSE,DEMOCRAT,DEMOCRAT,HERBERT 'TIM' RICHARDS,,MAIL IN,2342,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,004,STATE SENATOR,FALSE,REPUBLICAN,REPUBLICAN,NICHOLAS M TANCHEFF,,MAIL IN,646,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
